NetworkInterfaceId,SubnetId,Description,Status,PrivateIpAddress,Groups
eni-0ea82f091ca324285,subnet-0247a47921066e5c0,ELB acb87a9703a624484862d672ab23b5c0,in-use,10.56.22.29,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0aa1c6b25e47f3315,subnet-0247a47921066e5c0,aws-K8S-i-05b1b4cc1b0fdc0a5,in-use,10.56.18.119,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0a125dc6141af508d,subnet-00edaef3979087559,Network Interface for Transit Gateway Attachment tgw-attach-04c8009e393a57ed6,in-use,10.61.228.23,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0f22120fc0be956e6,subnet-0247a47921066e5c0,ELB ad7ce4cd6b21f44ce91b2f8d3bb65fbd,in-use,10.56.22.76,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-04a215d2509d9160b,subnet-0247a47921066e5c0,VPC Endpoint Interface vpce-042e7f508967fbd5f,in-use,10.56.22.153,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0100bb2e4a6195b7c,subnet-0247a47921066e5c0,VPC Endpoint Interface vpce-0a7385fc8001a7c87,in-use,10.56.18.68,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0b241f0ec4dbb1541,subnet-0247a47921066e5c0,ELB a31444c1c2c1c48f18976ca6098c2be4,in-use,10.56.23.135,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-016df70fe2c1a2160,subnet-0247a47921066e5c0,Network Interface for Transit Gateway Attachment tgw-attach-0f2671a93e529b7d8,in-use,10.56.21.163,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-03098a93334b414f0,subnet-0247a47921066e5c0,aws-K8S-i-07576ca4e3b5b5057,in-use,10.56.17.250,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0a9cf87648efd4c49,subnet-0247a47921066e5c0,VPC Endpoint Interface vpce-0c8a0d523491b417e,in-use,10.56.19.150,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-08c28f6c9ff4c8793,subnet-0962fbb6ad149af88,,in-use,10.56.0.58,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0da2967c4b574892a,subnet-0962fbb6ad149af88,VPC Endpoint Interface vpce-04e71c48a6be3f2f7,in-use,10.56.4.23,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-083e977e58ea0d2de,subnet-0962fbb6ad149af88,VPC Endpoint Interface vpce-042e7f508967fbd5f,in-use,10.56.1.40,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0d8479cc814a871bf,subnet-0962fbb6ad149af88,Network Interface for Transit Gateway Attachment tgw-attach-0f2671a93e529b7d8,in-use,10.56.6.178,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
