"NetworkInterfaceId","SubnetId","Description","Status","PrivateIpAddress","Groups"
"eni-0781ab5b4eefa05a8","subnet-048b8fd14c2a33d17","aws-K8S-i-02bb186962b829bc7","in-use","10.61.98.182","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0a77aa3f554dc5feb","subnet-048b8fd14c2a33d17",,"in-use","10.61.103.41","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-07195ad7fa4805400","subnet-048b8fd14c2a33d17","VPC Endpoint Interface vpce-0aba3c1dec2b5b1b6","in-use","10.61.103.22","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-08c13dcd79622fbc1","subnet-048b8fd14c2a33d17","aws-K8S-i-02bb186962b829bc7","in-use","10.61.100.251","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-055e0f2dd583bbf1b","subnet-048b8fd14c2a33d17","aws-K8S-i-0e0ad07cca4ee3169","in-use","10.61.97.200","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0d32b1b83d431df35","subnet-066920845e6887ae5","ElastiCache dev-rep-group-1-001","in-use","10.61.120.50","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0a2f9b3679eee7e6c","subnet-048b8fd14c2a33d17",,"in-use","10.61.100.38","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0e753211c22ab702f","subnet-066920845e6887ae5","ElastiCache qa-rep-group-1-001","in-use","10.61.120.130","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-00597fcc1bbebdc77","subnet-066920845e6887ae5","ElastiCache int-rep-group-1-001","in-use","10.61.120.223","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-02c0bb2561feccc52","subnet-048b8fd14c2a33d17","aws-K8S-i-0dfaf39e8de89daef","in-use","10.61.99.156","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0903472d1109ff227","subnet-048b8fd14c2a33d17","aws-K8S-i-0ed52f3113f042278","in-use","10.61.96.200","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-02d0d0a2b8b3c7337","subnet-048b8fd14c2a33d17",,"in-use","10.61.98.206","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-07a9540bffc27bdbd","subnet-048b8fd14c2a33d17",,"in-use","10.61.98.197","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-08da969a9e5eddea3","subnet-066920845e6887ae5","Primary network interface","in-use","10.61.120.69","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-00d7cdbddd48bc6a9","subnet-048b8fd14c2a33d17","Network Interface for Transit Gateway Attachment tgw-attach-0d66b1243cadd8c1f","in-use","10.61.96.124","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-032a6adce73077b1d","subnet-048b8fd14c2a33d17",,"in-use","10.61.99.116","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-089d28c87a067d1b6","subnet-066920845e6887ae5","Primary network interface","in-use","10.61.120.143","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0ba009cc506c53412","subnet-048b8fd14c2a33d17","VPC Endpoint Interface vpce-0bdc6d7f65631ad1c","in-use","10.61.99.147","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0a143d1384fad5aa4","subnet-066920845e6887ae5","ElastiCache prf-rep-group-1-002","in-use","10.61.120.71","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-092dc5bf39059c63c","subnet-066920845e6887ae5","Primary network interface","in-use","10.61.121.214","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-038c9377f8699a80e","subnet-048b8fd14c2a33d17","VPC Endpoint Interface vpce-0ec365f00f8399155","in-use","10.61.100.7","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-00b7e4276a3632d17","subnet-048b8fd14c2a33d17","VPC Endpoint Interface vpce-007e20a5ec2f36227","in-use","10.61.103.4","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0adad0866d8c387fa","subnet-066920845e6887ae5","Primary network interface","in-use","10.61.120.57","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0647f166987794651","subnet-066920845e6887ae5","Primary network interface","in-use","10.61.120.70","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-089db9198cae15318","subnet-048b8fd14c2a33d17","VPC Endpoint Interface vpce-0d771bf12c7040bf3","in-use","10.61.98.223","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-096e07fcce4c8bbfb","subnet-048b8fd14c2a33d17","aws-K8S-i-02bb186962b829bc7","in-use","10.61.97.147","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-023ad81d28fc25852","subnet-048b8fd14c2a33d17",,"in-use","10.61.103.175","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-066a521fee1d415a4","subnet-066920845e6887ae5","RDSNetworkInterface","in-use","10.61.121.8","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0e83aebb04b612934","subnet-048b8fd14c2a33d17","ELB abd585bf80170466b86f18b50030dafe","in-use","10.61.98.113","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0319b9a6c54af1ed8","subnet-048b8fd14c2a33d17","VPC Endpoint Interface vpce-05b08d2548db93909","in-use","10.61.96.52","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-08e77ab6754a0ef5f","subnet-066920845e6887ae5","VPC Endpoint Interface vpce-05fd4b4363423af9a","in-use","10.61.120.167","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-013e3b5ffdda9306b","subnet-048b8fd14c2a33d17","aws-K8S-i-0e0ad07cca4ee3169","in-use","10.61.103.149","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-08f84b2e222b43a92","subnet-048b8fd14c2a33d17","VPC Endpoint Interface vpce-0e9184c05ffdeacf2","in-use","10.61.98.229","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0facf3c9de73c7222","subnet-048b8fd14c2a33d17","aws-K8S-i-05144870f3a8266d3","in-use","10.61.102.132","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0c6a33b4ce7f01b7d","subnet-048b8fd14c2a33d17","aws-K8S-i-005828a052d63a4b4","in-use","10.61.98.66","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0eb5144bbdd433555","subnet-048b8fd14c2a33d17","VPC Endpoint Interface vpce-065f2a0abd8e7dcd4","in-use","10.61.96.159","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0a60ee34476796770","subnet-048b8fd14c2a33d17","aws-K8S-i-0e439bdf874945bd7","in-use","10.61.100.254","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0a30955c0b5fdad05","subnet-066920845e6887ae5","Primary network interface","in-use","10.61.120.123","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-05e89eb39a0dd0aaf","subnet-066920845e6887ae5","VPC Endpoint Interface vpce-0f5c6950cde894e1e","in-use","10.61.121.95","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0290abff64624e646","subnet-048b8fd14c2a33d17","VPC Endpoint Interface vpce-07c107eb52e730a97","in-use","10.61.103.146","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-025c2ec55bc2de735","subnet-048b8fd14c2a33d17","ELB a370c9503ecae4d5383f2fe9cc2dddff","in-use","10.61.101.222","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
